,repo,origin_commit,file,code_context,commit_date,line_vuln,code_vuln
0,google/filament,1d392d38bd95250cbb22542c861597f36cfb3e99,third_party/libassimp/code/Irr/IRRMeshLoader.cpp,"IRRMeshImporter::IRRMeshImporter()
{}
",2018-11-19 09:27:08 -0800,,
1,google/filament,59e3465b6b9fa3767f9a344dce32716038eebc65,third_party/libassimp/code/Irr/IRRMeshLoader.cpp,"// ------------------------------------------------------------------------------------------------
 // Constructor to be privately used by Importer
 IRRMeshImporter::IRRMeshImporter()
 // ------------------------------------------------------------------------------------------------
 // ------------------------------------------------------------------------------------------------
 // ------------------------------------------------------------------------------------------------
 // ------------------------------------------------------------------------------------------------
IRRMeshImporter::IRRMeshImporter()
{}
",2020-01-13 15:00:27 -0800,81,IRRMeshImporter::IRRMeshImporter()                 ^
2,google/filament,59e3465b6b9fa3767f9a344dce32716038eebc65,third_party/libassimp/code/Irr/IRRMeshLoader.cpp,"// ------------------------------------------------------------------------------------------------
 // Constructor to be privately used by Importer
 IRRMeshImporter::IRRMeshImporter()
 // ------------------------------------------------------------------------------------------------
 // ------------------------------------------------------------------------------------------------
 // ------------------------------------------------------------------------------------------------
 // ------------------------------------------------------------------------------------------------
IRRMeshImporter::IRRMeshImporter()
{}
",2020-01-13 15:00:27 -0800,238,                        aiMaterial* mat = ( aiMaterial* ) curMat
3,google/filament,59e3465b6b9fa3767f9a344dce32716038eebc65,third_party/libassimp/code/Irr/IRRMeshLoader.cpp,"// ------------------------------------------------------------------------------------------------
 // Constructor to be privately used by Importer
 IRRMeshImporter::IRRMeshImporter()
 // ------------------------------------------------------------------------------------------------
 // ------------------------------------------------------------------------------------------------
 // ------------------------------------------------------------------------------------------------
 // ------------------------------------------------------------------------------------------------
IRRMeshImporter::IRRMeshImporter()
{}
",2020-01-13 15:00:27 -0800,479,                    aiMaterial* mat = (aiMaterial*)curMat
